addr,side,group,btcblack_found,btcblack_latency_ms,block_height
bc1qqt853xkk8hu4jkwszcqrd6xd38x4velva8mw73,input,target_blocks,False,23.1,
bc1qdmh4eh2wk6vzst0m0us6eg7gynqas8zsk6qs4v,input,target_blocks,False,25.7,
bc1q0358kuuyesly0zmgwfhfxd7k4xx35uhznge5cu,input,target_blocks,False,20.6,
bc1qc67yspqq05yepjavzrfc93rwp06fdk3jem0krx,input,target_blocks,False,23.4,
bc1qupxtg3t78pqzd84793zgz4j8wv00macesyxawf,input,target_blocks,False,87.6,
bc1qd9c36ddy8dn6jndfe4f5yryrvqajs8hfhuf5pd,input,target_blocks,False,22.9,
bc1q98ngtqknr9yqkhjxlwdu5mkx6yzl07c2q7f5gv,input,target_blocks,False,22.5,
bc1qkvf6u8fndmt8j5sre664z3tqv7zp3nz7lngu8n,input,target_blocks,False,24.8,
bc1pk99g60tc7d6rxnc5wwr0jwpdgqm2ev5kmguh0ttjuujj5dc0j6cq4hwh2j,input,target_blocks,False,24.2,
bc1qn9tvur4gdjdt0p85l20z3qwtdudx4gcdpjma4w,input,target_blocks,False,23.5,
bc1qf3qpjcczk50csrgszyxhdyvkr6yayfydc4ur00,input,target_blocks,False,22.7,
bc1q6gllp7568tnhyt84uyprw35pxqepycvct0qj00,input,target_blocks,False,24.7,
bc1qfsn2gkqsqnrsv88vxr3mdkwdz0xqxfg5f7n2mp,input,target_blocks,False,27.8,
bc1qpkh730knd0d2ankja4wp9syccet8zj8grznpkl,input,target_blocks,False,23.5,
bc1q7unnl3pluj0fdsfc3tfklx5x4cgchw4jls5y8w,input,target_blocks,False,27.4,
bc1q5r7590gneslgaexhq9u4z5zknrf8rhm4ut6cau,input,target_blocks,False,24.1,
bc1q4phhpw4x4hav5a6gvdmsge42v7snk9w9n90q4w,input,target_blocks,False,23.0,
bc1qxlne4qmmgpc6rlrvrdyjprnay9q6ykg98gz2j3,input,target_blocks,False,22.4,
bc1qd32aq08rjug5ruufd33m3484nr8fyh0u0hewuh,input,target_blocks,False,22.4,
bc1qknqylktc5t304ltf3vhxvsjc9w3n64uzaw33ah,input,target_blocks,False,26.6,
bc1q4z5kaq9qpqxssmdwsmatthnss7mu36cam5xe00,input,target_blocks,False,23.0,
bc1qy7q7v5hn6ww8q327a3vrgjgrvdl0che50g8t3s,input,target_blocks,False,23.3,
bc1qmrg83pxfzl7hndduzr45eegdstejwda4v6wfn2,input,target_blocks,False,94.3,
bc1qynhauw3g7zdyf7jq2efzry8zfn5rqyhgl9hkk8,input,target_blocks,False,38.2,
bc1qgjrq7ur63kvyu4eapazz5qv55vgtd3rk3rteaa,input,target_blocks,False,25.4,
bc1qc6ra562awe65e3g8ek2xm0u7a0hgn063xfmt82,input,target_blocks,False,24.1,
bc1qe0y8q44dfu3v375mhelxsm6d8aheudr6znk0fz,input,target_blocks,False,22.5,
bc1p3tr09g3g2w3p0956px6smkz05xq6uznu8vk9zr82r85z5dmfq6aqs3e6uk,input,target_blocks,False,88.4,
bc1qdkmsu8dqm5hhttew59khkfukp6495aknxydxd6,input,target_blocks,False,23.4,
bc1q2hegx5eswlhpmdxetgupgyhwexxs0u5w7z5s00,input,target_blocks,False,56.4,
bc1q7d0gn37nay6qsnksmq4jnp8x3ce6dtd3k2mevk,input,target_blocks,False,22.7,
bc1q70v3sea2t49txks30zeard4dltetpxpt2vtjph,input,target_blocks,False,24.4,
bc1qlup8craleh48z9l8hnaw8lzcpvjfk4378h3zf6,input,target_blocks,False,23.1,
bc1qcemj9t63rgfzk89760hh9lcjv7c57zlwkts80z,input,target_blocks,False,93.6,
bc1quwyv0kgkpuj7w3rz0xqhk3yvecwgnqzaafay3q,input,target_blocks,False,27.1,
bc1qqjmynn2g0nnkv536vvdks2356actfp63zx7d8e,input,target_blocks,False,24.4,
bc1qgtquys4nh4w5zwwuywy34584v3gw7c8myh2nhj,input,target_blocks,False,24.3,
bc1q3dyq9qu3qfwp3jm56ku99qr2j49g8lsfzw5cvw,input,target_blocks,False,26.6,
bc1qscu5nh352wwx87ymvf44885edn7k289vymee06,input,target_blocks,False,27.6,
bc1p2ajthnk28r3dnh4chvaffs4wytvvcrc42d72jvtsj2ezsgj66ppsqfqh0v,input,target_blocks,False,26.8,
bc1pk7ut2ls3wrgs04x4ezr0rgrdenzukmv7v85dqwqhfwd8q8a54htse6thwm,input,target_blocks,False,24.3,
38J6iCwhwSBaFYRen68tmnwu3BmNyx9iE6,input,target_blocks,False,25.0,
bc1qzf43ep2zy50lrqsrejwaahl3rvln0afqv22fmj,input,target_blocks,False,23.6,
bc1qwsk5z9evedtznahj7k44mmjw5ypr4q6uqw3utk,input,target_blocks,False,24.0,
bc1qsg2kzmg40v0420aqgppcpjrvkqr5gp3audrue0,input,target_blocks,False,23.7,
bc1qem47frwqu0d28j5d36czr50zhd8ez3jqsd239v,input,target_blocks,False,25.4,
bc1q2k47rfp7drgp5y4zjqveye2agjj4d8e6p250ts,input,target_blocks,False,24.2,
bc1qfcsrlud52g0rgapj2ewwzsfhhah42dlr357m54,input,target_blocks,False,22.1,
bc1qtkllvrgramk69zy2n8q0hjuz2glv6ur9ga699t,input,target_blocks,False,22.3,
bc1pa8x7nxyz73wp8j62rwhezw4usdq9n4e7h3h8kqqk5zuuuh73tnqq7y8hg5,input,target_blocks,False,27.2,
3HFiB5yzNuf3CFXx5S7TDJGEA9bFLEtXD3,input,target_blocks,False,25.1,
bc1qq3vfmrz08232u4wyvuvnxd533ly63efekf4ees,input,target_blocks,False,23.4,
1G4vvFLsk5T6hYj1oY3DsCHfwv4TUwiiSQ,input,target_blocks,False,89.2,
bc1qca0upxg9ze6375tr82zme5nz3c2uc0ddnd8m3s,input,target_blocks,False,23.6,
bc1qvgaepmrr247wq5plqaka9d8dcw4dc88545gna8,input,target_blocks,False,23.3,
bc1qgm0pxnwktjzhm3ksm6hllrrlv6ymhfjeq4xnn2,input,target_blocks,False,88.5,
bc1qxsnxms9t5tggw8c04caq9w5fe26wqjnxaxrkkt,input,target_blocks,False,87.7,
bc1qktewyxu2zdeer3pr2vfsfp2a6yees9j6zjfsvy,input,target_blocks,False,24.1,
bc1qenzm64xrp0sxzmdtqrpsm9m3xdzzm3k0yymqxv,input,target_blocks,False,23.3,
bc1qrs888fespmpq6sywyvjlkzu3hcnef0trdgw9xq,input,target_blocks,False,23.6,
bc1qnst3g5ma767vqtt83yz97vy5g0nrtp4xejmgfx,input,target_blocks,False,86.9,
bc1qejrde5srumfrs5hyaj3783dqq4fcgukyuwpx92,input,target_blocks,False,24.0,
bc1qa4r6y0nt6vwy5p75mmplmaffukn5qhs8wc898a,input,target_blocks,False,27.2,
bc1qq0d4q9k6xe2aa08h8uz6ggmvwkwwfr0hpvp3xx,input,target_blocks,False,88.3,
bc1par84l4ju7qplgr3mdh8ky52nwxxy47zt0my35jkqfeatc3f4ppdqjhxqtz,input,target_blocks,False,22.0,
bc1qh83xgxda8fcpnfwmhfpqf24x4cdnuadkxjj2aa,input,target_blocks,False,23.4,
