feature_set,model,region,n,positives,positive_rate,auc_pr,auc_roc,f1,precision,recall,brier,tp,fp,tn,fn,threshold,val_f1_for_threshold
13_features_without_memory,XGBoost,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.005265895576534167,0.7981129859757419,0.0070921985815602835,0.006802721088435374,0.007407407407407408,0.034408469702939946,1,146,109294,134,0.9634175896644592,0.2513207547165338
13_features_without_memory,LightGBM,D5D6_full__history_exposed,109575,135,0.0012320328542094457,0.0042993133603643485,0.7053577133419969,0.007194244604316547,0.006993006993006993,0.007407407407407408,0.018808229735617465,1,142,109298,134,0.9681569771881595,0.27255129694110525
13_features_without_memory,CatBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.0002688505513390601,0.8514476440914038,0.0,0.0,0.0,0.029328105402425142,0,1401,511225,30,0.9045237053527143,0.17960042060941864
13_features_without_memory,CatBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.0002688505513390601,0.8514476440914038,0.0,0.0,0.0,0.029328105402425142,0,1401,511225,30,0.9045237053527143,0.17960042060941864
13_features_without_memory,LightGBM,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.0002673810262664389,0.7725620953027483,0.0,0.0,0.0,0.00689554485871036,0,203,512423,30,0.9681569771881595,0.27255129694110525
13_features_without_memory,LightGBM,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.0002673810262664389,0.7725620953027483,0.0,0.0,0.0,0.00689554485871036,0,203,512423,30,0.9681569771881595,0.27255129694110525
13_features_without_memory,XGBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00023854691720455882,0.8167659918407052,0.0,0.0,0.0,0.013931766958287057,0,205,512421,30,0.9634175896644592,0.2513207547165338
13_features_without_memory,XGBoost,D5D6_full__isolated,512656,30,5.85187728223214e-05,0.00023854691720455882,0.8167659918407052,0.0,0.0,0.0,0.013931766958287057,0,205,512421,30,0.9634175896644592,0.2513207547165338
15_features_with_memory,LightGBM,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.7883846680260483,0.926858879665996,0.7807041361209159,0.8252965939533103,0.740683496479478,0.04129327970933711,4313,913,129784,1510,0.947219884941718,0.3263417643425016
15_features_with_memory,XGBoost,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.7643382140462514,0.9393542375349204,0.7035739313244569,0.6435897435897436,0.7758887171561051,0.07460106535888793,4518,2502,128195,1305,0.9104464054107666,0.3514117408079913
15_features_with_memory,CatBoost,D5D6_clean__exposed_any,136520,5823,0.0426530911221799,0.7637671858343724,0.9464773441002352,0.7637240024993306,0.7951672862453532,0.734672849046883,0.08097239017356202,4278,1102,129595,1545,0.9507533985077975,0.30404068945979956
15_features_with_memory,LightGBM,D5D6_clean__fraud_exposed,27188,5688,0.2092099455642195,0.8547862759857131,0.8799162332777287,0.8286538461538462,0.9144736842105263,0.7575597749648383,0.10115817663090525,4309,403,21097,1379,0.947219884941718,0.3263417643425016
